attempt_id,run_id,block,status,started_epoch,ended_epoch,elapsed_seconds,setup_seconds,epoch_seconds,gpu_peak_used_mib,retry_of,returncode,run_dir,log,error
attempt_001,ring_readiness,P,completed,1789482468.4109778,1789482886.9321363,418.52115845680237,,,711.0,,0,/content/metal_ring_pilot_v1/ring_preflight,/content/metal_ring_pilot_v1/logs/attempt_001.log,
attempt_002,S_GVP_ring0_lr3e-05_s42,S,completed,1789482945.2000802,1789483043.3282557,98.12817549705505,92.12198233604431,6.006193161010742,3.0,,0,/content/metal_ring_pilot_v1/runs/S_GVP_ring0_lr3e-05_s42,/content/metal_ring_pilot_v1/logs/attempt_002.log,
attempt_003,S_GVP_ring1_lr3e-05_s42,S,completed,1789483111.8909907,1789483214.030542,102.13955116271973,97.15294623374939,4.986604928970337,811.0,,0,/content/metal_ring_pilot_v1/runs/S_GVP_ring1_lr3e-05_s42,/content/metal_ring_pilot_v1/logs/attempt_003.log,
attempt_004,S_LATE_ring0_lr3e-05_s42,S,completed,1789483287.711498,1789483399.8643875,112.15288949012756,106.55330204963684,5.599587440490723,813.0,,0,/content/metal_ring_pilot_v1/runs/S_LATE_ring0_lr3e-05_s42,/content/metal_ring_pilot_v1/logs/attempt_004.log,
attempt_005,S_LATE_ring1_lr3e-05_s42,S,completed,1789483461.7746403,1789483579.928236,118.15359568595886,111.5480272769928,6.6055684089660645,3.0,,0,/content/metal_ring_pilot_v1/runs/S_LATE_ring1_lr3e-05_s42,/content/metal_ring_pilot_v1/logs/attempt_005.log,
attempt_006,GVP_GVP_ring0_lr3e-05_s42,GVP,completed,1789483625.428882,1789483895.7714727,270.3425908088684,91.81167840957642,3.57061824798584,821.0,,0,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring0_lr3e-05_s42,/content/metal_ring_pilot_v1/logs/attempt_006.log,
attempt_007,GVP_GVP_ring1_lr3e-05_s42,GVP,completed,1789483945.4629302,1789484219.8138883,274.350958108902,96.949387550354,3.5480314111709594,821.0,,0,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring1_lr3e-05_s42,/content/metal_ring_pilot_v1/logs/attempt_007.log,
attempt_008,GVP_GVP_ring0_lr3e-05_s43,GVP,completed,1789484260.6892385,1789484533.042882,272.3536434173584,92.25884556770325,3.601895956993103,821.0,,0,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring0_lr3e-05_s43,/content/metal_ring_pilot_v1/logs/attempt_008.log,
attempt_009,GVP_GVP_ring1_lr3e-05_s43,GVP,completed,1789484577.2380443,1789484855.5904753,278.35243105888367,96.18380045890808,3.643372611999512,821.0,,0,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring1_lr3e-05_s43,/content/metal_ring_pilot_v1/logs/attempt_009.log,
attempt_010,GVP_GVP_ring0_lr0.0001_s42,GVP,completed,1789484892.3625836,1789485162.704109,270.3415253162384,92.37602829933167,3.5593099403381347,821.0,,0,/content/metal_ring_pilot_v1/runs/GVP_GVP_ring0_lr0.0001_s42,/content/metal_ring_pilot_v1/logs/attempt_010.log,
